cell_id,option,cost_inr,person_degC,tier1_person_degC,row0,col0,lon,lat
9851,greening,951750.0,11972.245929718018,11953.5940990448,890,610,80.21921,13.10781
13585,greening,961875.0,10082.835775375366,0.0,1230,550,80.20291,13.01553
13355,greening,749250.0,8717.4222946167,0.0,1210,450,80.17522,13.02087
13257,greening,972000.0,7896.0770835876465,1209.008041381836,1200,570,80.20841,13.02368
12157,greening,840375.0000000001,7819.586496353149,0.0,1100,570,80.20833,13.05081
11846,greening,1002375.0,7310.269883155823,0.0,1070,760,80.26087,13.0591
11954,greening,961875.0,7303.56795501709,0.0,1080,740,80.25535,13.05637
12062,greening,901125.0,7085.467077255249,0.0,1090,720,80.24982,13.05364
11608,greening,992250.0,6511.491859436035,0.0,1050,580,80.21105,13.06438
11520,greening,982125.0,6509.2576694488525,304.6947326660156,1040,800,80.27192,13.06727
10644,greening,941625.0000000001,6372.143337249756,811.449785232544,960,840,80.28292,13.089
12830,greening,931500.0,6366.229984283447,0.0,1160,700,80.24434,13.03464
10060,greening,536625.0,6351.923901557922,6291.08030128479,910,500,80.18879,13.10229
14592,greening,779625.0,6291.663954734802,0.0,1320,720,80.25001,12.99126
12715,greening,951750.0,6285.8823595047,0.0,1150,650,80.2305,13.03731
13698,greening,678374.9999999999,6234.357085227966,0.0,1240,580,80.21121,13.01284
13373,greening,951750.0,6227.153730392456,0.0,1210,630,80.22502,13.02102
9850,greening,982125.0,6110.877090454102,3716.342990875244,890,600,80.21645,13.1078
11628,greening,982125.0,6060.666734695435,0.0,1050,780,80.26639,13.06454
11410,greening,1002375.0,5993.997955322266,3916.048595428467,1030,800,80.27191,13.06998
5186,greening,516375.0,5950.804573059082,4998.5989418029785,470,160,80.09426,13.22132
9961,greening,445500.0,5930.42685508728,3753.896240234375,900,610,80.21922,13.10509
12605,greening,1012500.0,5924.602147102356,0.0,1140,650,80.23049,13.04003
11738,greening,911250.0,5922.389831542969,0.0,1060,780,80.2664,13.06183
11953,greening,860625.0,5897.245807647705,0.0,1080,730,80.25258,13.05637
10288,greening,891000.0,5880.353298187256,5849.50643157959,930,580,80.21095,13.09693
12118,greening,951750.0,5850.229602813721,0.0,1100,180,80.10042,13.05046
13245,greening,931500.0,5838.654468536377,0.0,1200,450,80.17522,13.02358
11408,greening,931500.0,5745.683181762695,0.0,1030,780,80.26637,13.06997
12714,greening,992250.0,5740.916864395142,0.0,1150,640,80.22774,13.0373
10645,greening,972000.0,5633.144456863403,0.0,960,850,80.28569,13.08901
11283,greening,860625.0,5534.729968070984,610.3919563293457,1020,630,80.22486,13.07256
13256,greening,1012500.0,5454.453596115112,0.0,1200,560,80.20565,13.02367
12116,greening,891000.0,5422.74293756485,0.0,1100,160,80.09489,13.05044
10287,greening,972000.0,5349.265634536743,5328.335216522217,930,570,80.20818,13.09692
10536,greening,1012500.0,5349.038869857788,0.0,950,860,80.28845,13.09173
12391,greening,880875.0,5302.254692077637,0.0,1120,710,80.24708,13.0455
11955,greening,961875.0,5286.851146697998,0.0,1080,750,80.25811,13.05638
12158,greening,982125.0,5264.711563110352,0.0,1100,580,80.21109,13.05082
10743,greening,1002375.0,5260.046436309814,0.0,970,730,80.25249,13.0862
13695,greening,830250.0,5222.215072631836,0.0,1240,550,80.20291,13.01282
12611,greening,951750.0,5212.533128738403,0.0,1140,710,80.24709,13.04007
12008,greening,891000.0,5204.226456642151,0.0,1090,180,80.10041,13.05317
12117,greening,982125.0,5153.259322166443,0.0,1100,170,80.09766,13.05045
10962,greening,992250.0,5147.598104476929,0.0,990,720,80.24974,13.08077
12063,greening,830250.0,5139.869818687439,0.0,1090,730,80.25259,13.05365
11174,greening,1002375.0,5133.797487258911,0.0,1010,640,80.22762,13.07528
13702,greening,708750.0,5101.281227111816,0.0,1240,620,80.22228,13.01287
10720,greening,931500.0,5081.698921203613,0.0,970,500,80.18884,13.08601
11276,greening,982125.0,5058.99440574646,0.0,1020,560,80.20549,13.0725
10859,greening,1012500.0,4975.475820541382,0.0,980,790,80.2691,13.08354
4602,greening,921374.9999999999,4968.285911560059,4211.26743888855,410,920,80.30464,13.23825
11184,greening,1012500.0,4947.047336578369,0.0,1010,740,80.25529,13.07536
12940,greening,850500.0,4886.807481765747,0.0,1170,700,80.24435,13.03193
11630,greening,1002375.0,4873.327142715454,0.0,1050,800,80.27192,13.06456
12501,greening,769500.0,4869.6016664505005,0.0,1130,710,80.24709,13.04279
13703,greening,779625.0,4863.841125488281,0.0,1240,630,80.22505,13.01288
11897,greening,830250.0,4851.730690002441,3933.85666847229,1080,170,80.09764,13.05587
10742,greening,840375.0000000001,4815.318597793579,0.0,970,720,80.24972,13.0862
15036,greening,992250.0,4808.935225486755,0.0,1360,760,80.2611,12.98044
11898,greening,799875.0,4738.591251373291,2434.4059982299805,1080,180,80.1004,13.05588
12432,greening,789750.0,4737.457300186157,2712.1737632751465,1130,20,80.05619,13.04216
